size,Triton,Torch
4096.000000,245.760006,245.784005
8192.000000,241.459020,240.964248
16384.000000,238.168383,238.082766
32768.000000,238.330788,238.267608
65536.000000,238.263087,238.362391
131072.000000,238.312729,238.263087
262144.000000,238.087263,238.033220
524288.000000,238.321758,238.272113
1048576.000000,238.267608,238.249558
2097152.000000,238.403038,238.249558
4194304.000000,238.308206,238.254062
8388608.000000,238.439170,238.326265
16777216.000000,238.443698,238.285644
33554432.000000,238.565746,238.263087
67108864.000000,238.371424,238.245037
134217728.000000,238.448209,238.168383
